document_id	document_title	sentence_idx	text	types_event	subtypes_event	types_event_unq	subtypes_event_unq	token_cnt	event_cnt	dataset	labels
aal00	aal00_american-airlines-up-on-record-april-traffic-upbeat-q2-view.txt	10	Pre-tax margin excluding special items in the second quarter is estimated in the range of 12 % - - 14 % .	['FinancialReport']	['FinancialReport.Beat']	['FinancialReport']	['FinancialReport.Beat']	22	1	silver	[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
aal00	aal00_american-airlines-up-on-record-april-traffic-upbeat-q2-view.txt	11	The company ' s prior guidance for TRASM was 3 % - - 5 % , while that for pre-tax margin was 11 % - - 13 % .	['Revenue', 'FinancialReport']	['Revenue.Increase_Revenue', 'FinancialReport.Beat']	['FinancialReport', 'Revenue']	['FinancialReport.Beat', 'Revenue.Increase_Revenue']	29	2	silver	[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]
aal00	aal00_american-airlines-up-on-record-april-traffic-upbeat-q2-view.txt	12	The company recently reported first-quarter 2017 results , beating the Zacks Consensus Estimate for both earnings and revenues .	['FinancialReport']	['FinancialReport.Stable_FinancialReport']	['FinancialReport']	['FinancialReport.Stable_FinancialReport']	19	1	silver	[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
aal00	aal00_american-airlines-up-on-record-april-traffic-upbeat-q2-view.txt	13	The carrier ' s adjusted earnings of 61 cents per share beat the Zacks Consensus Estimate by 4 cents .	['SecurityValue', 'SecurityValue']	['SecurityValue.Increase_SecurityValue', 'SecurityValue.Increase_SecurityValue']	['SecurityValue']	['SecurityValue.Increase_SecurityValue']	20	2	silver	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]
aal00	aal00_american-airlines-up-on-record-april-traffic-upbeat-q2-view.txt	14	Revenues of $ 9,624 million edged past the Zacks Consensus Estimate of $ 9,621.3 million .	['Rating']	['Rating.BuyOutperform']	['Rating']	['Rating.BuyOutperform']	16	1	silver	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]
aal00	aal00_american-airlines-up-on-record-april-traffic-upbeat-q2-view.txt	15	Airline heavyweights like Southwest Airlines LUV and Alaska Air Group ALK have also reported their financial numbers over the past few weeks .	['FinancialReport']	['FinancialReport.Stable_FinancialReport']	['FinancialReport']	['FinancialReport.Stable_FinancialReport']	23	1	silver	[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
aal00	aal00_american-airlines-up-on-record-april-traffic-upbeat-q2-view.txt	16	American Airlines Group , Inc . .	[]	[]	[]	[]	7	0	silver	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
aal00	aal00_american-airlines-up-on-record-april-traffic-upbeat-q2-view.txt	17	Zacks Rank & Key Pick American Airlines currently carries a Zacks Rank # 3 Hold .	['Rating']	['Rating.Hold']	['Rating']	['Rating.Hold']	16	1	silver	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]
aal00	aal00_american-airlines-up-on-record-april-traffic-upbeat-q2-view.txt	18	A better-ranked stock in the airline space is Deutsche Lufthansa AG DLAKY , which carries a Zacks Rank # 2 Buy .	['Rating']	['Rating.BuyOutperform']	['Rating']	['Rating.BuyOutperform']	22	1	silver	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]
aal00	aal00_american-airlines-up-on-record-april-traffic-upbeat-q2-view.txt	19	Shares of Deutsche Lufthansa have rallied 39.84 % on a year-to-date basis .	['SecurityValue']	['SecurityValue.Increase_SecurityValue']	['SecurityValue']	['SecurityValue.Increase_SecurityValue']	13	1	silver	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]
aal01	aal01_900m-investment-at-phl-to-bring-new-traffic-control-tower-re.txt	0	$ 900M investment at PHL to bring new traffic control tower , remodeled terminals	['Investment', 'Facility']	['Investment.None', 'Facility.None']	['Investment', 'Facility']	['Facility.None', 'Investment.None']	14	2	silver	[0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]
aal01	aal01_900m-investment-at-phl-to-bring-new-traffic-control-tower-re.txt	1	A $ 900 million infrastructure investment at Philadelphia International Airport led by American Airlines dedicates nearly half the funds to maintenance and repairs of the airfield and terminals , while the next largest piece - - $ 200 million - - will go towards making good on the promise made in the 2015 lease agreement for a new air traffic control tower .	['Investment', 'Facility', 'Deal']	['Investment.None', 'Facility.Open', 'Deal.None']	['Investment', 'Facility', 'Deal']	['Facility.Open', 'Investment.None', 'Deal.None']	63	3	silver	[0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]
aal01	aal01_900m-investment-at-phl-to-bring-new-traffic-control-tower-re.txt	2	American Airlines and PHL announced Tuesday an agreement to continue to make ` ` critical improvements and to develop new infrastructure ' ' at the city ' s International Airport and Philadelphia Northeast Airport at a total cost of $ 893.8 million .	['Deal']	['Deal.None']	['Deal']	['Deal.None']	43	1	silver	[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
aal01	aal01_900m-investment-at-phl-to-bring-new-traffic-control-tower-re.txt	3	The investment is broken down into several key initiatives :	['Investment']	['Investment.None']	['Investment']	['Investment.None']	10	1	silver	[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]
aal01	aal01_900m-investment-at-phl-to-bring-new-traffic-control-tower-re.txt	4	Maintenance & repair projects : $ 395.9 million	[]	[]	[]	[]	8	0	silver	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
aal01	aal01_900m-investment-at-phl-to-bring-new-traffic-control-tower-re.txt	5	New air traffic control tower : $ 197.5 million	['Facility']	['Facility.Open']	['Facility']	['Facility.Open']	9	1	silver	[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
aal01	aal01_900m-investment-at-phl-to-bring-new-traffic-control-tower-re.txt	6	Terminal modernization program enabling projects : $ 96.5 million	['Facility']	['Facility.Open']	['Facility']	['Facility.Open']	9	1	silver	[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
aal01	aal01_900m-investment-at-phl-to-bring-new-traffic-control-tower-re.txt	7	Fuel farm expansion : $ 94.6 million	[]	[]	[]	[]	7	0	silver	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
aal01	aal01_900m-investment-at-phl-to-bring-new-traffic-control-tower-re.txt	8	Deicing facility conversion : $ 43.2 million	[]	[]	[]	[]	7	0	silver	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
aal01	aal01_900m-investment-at-phl-to-bring-new-traffic-control-tower-re.txt	9	Terminal B concession redevelopment : $ 32.8 million	['Facility']	['Facility.Open']	['Facility']	['Facility.Open']	8	1	silver	[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
aal01	aal01_900m-investment-at-phl-to-bring-new-traffic-control-tower-re.txt	10	Land acquisition : $ 27.1 million	['Facility']	['Facility.Open']	['Facility']	['Facility.Open']	6	1	silver	[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
aal01	aal01_900m-investment-at-phl-to-bring-new-traffic-control-tower-re.txt	11	Capital equipment : $ 6.2 million	[]	[]	[]	[]	6	0	silver	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
aal01	aal01_900m-investment-at-phl-to-bring-new-traffic-control-tower-re.txt	12	For more details on this project , which is already underway , click here .	[]	[]	[]	[]	15	0	silver	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
aal01	aal01_900m-investment-at-phl-to-bring-new-traffic-control-tower-re.txt	13	The bulk of the dollars are being spent on PHL - - with $ 26 million earmarked for improvements and upgrades at the Northeast Airport .	['Deal']	['Deal.None']	['Deal']	['Deal.None']	26	1	silver	[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
aal01	aal01_900m-investment-at-phl-to-bring-new-traffic-control-tower-re.txt	14	The funding for the projects comes from the airlines , according to Rhett Workman , American Airline ' s managing director of government and airport affairs .	['Financing']	['Financing.None']	['Financing']	['Financing.None']	27	1	silver	[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
aal01	aal01_900m-investment-at-phl-to-bring-new-traffic-control-tower-re.txt	15	` ` It is worth noting that these investments are not funded by taxpayer dollars .	['Investment', 'Financing']	['Investment.None', 'Financing.None']	['Investment', 'Financing']	['Financing.None', 'Investment.None']	16	2	silver	[0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]
aal01	aal01_900m-investment-at-phl-to-bring-new-traffic-control-tower-re.txt	16	Instead , they are an investment in the region by the 15 airlines that serve the airport , ' ' Workman said in a statement .	['Investment']	['Investment.None']	['Investment']	['Investment.None']	26	1	silver	[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]
aal01	aal01_900m-investment-at-phl-to-bring-new-traffic-control-tower-re.txt	17	Workman told Philly.com plans to set up an ` ` automated ` people mover ' ' ' have put put aside and the existing connector bus system - - with tweaked routes and the addition of 12 new buses - will continue to cart passengers between terminals .	['Facility']	['Facility.Open']	['Facility']	['Facility.Open']	48	1	silver	[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
aal01	aal01_900m-investment-at-phl-to-bring-new-traffic-control-tower-re.txt	18	All of the announced projects , overseen by the Division of Aviation and American Airlines , are expected to be completed within the next five to seven years , the airport and American said .	['Investment', 'Facility']	['Investment.None', 'Facility.Open']	['Investment', 'Facility']	['Facility.Open', 'Investment.None']	35	2	silver	[0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]
aal01	aal01_900m-investment-at-phl-to-bring-new-traffic-control-tower-re.txt	19	PHL Airport CEO Chellie Cameron , in a statement , pointed to the economic impact the investment will have on the Philadelphia region .	['Macroeconomics', 'Investment']	['Macroeconomics.None', 'Investment.None']	['Investment', 'Macroeconomics']	['Macroeconomics.None', 'Investment.None']	24	2	silver	[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0]
aal01	aal01_900m-investment-at-phl-to-bring-new-traffic-control-tower-re.txt	20	` ` We want our passengers to know that when they choose PHL today , they will receive efficient and comfortable service .	['Product/Service']	['Product/Service.Launch']	['Product/Service']	['Product/Service.Launch']	23	1	silver	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]
aal01	aal01_900m-investment-at-phl-to-bring-new-traffic-control-tower-re.txt	21	As we grow in the future , it will only get better .	['Macroeconomics', 'Product/Service']	['Macroeconomics.None', 'Product/Service.Launch']	['Product/Service', 'Macroeconomics']	['Macroeconomics.None', 'Product/Service.Launch']	13	2	silver	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0]
aal01	aal01_900m-investment-at-phl-to-bring-new-traffic-control-tower-re.txt	22	Also , the direct and indirect jobs created by these projects will help keep the Philadelphia region thriving , ' ' Cameron said .	['Employment', 'Macroeconomics']	['Employment.Start', 'Macroeconomics.None']	['Employment', 'Macroeconomics']	['Macroeconomics.None', 'Employment.Start']	24	2	silver	[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]
aal01	aal01_900m-investment-at-phl-to-bring-new-traffic-control-tower-re.txt	23	In the joint statement , PHL and American said the projects will generate nearly $ 4 billion in economic output in Greater Philadelphia over the next five years .	['Macroeconomics']	['Macroeconomics.None']	['Macroeconomics']	['Macroeconomics.None']	29	1	silver	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]
aal02	aal02_delta-air-lines-finds-competition-intense-in-may-on-time-arrival.txt	0	Delta Air Lines finds competition intense in May on-time arrivals race	['Macroeconomics']	['Macroeconomics.None']	['Macroeconomics']	['Macroeconomics.None']	11	1	silver	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]
aal02	aal02_delta-air-lines-finds-competition-intense-in-may-on-time-arrival.txt	1	Delta Air Lines , long used to being hailed as the undisputed leader in on-time performance , found itself in a real horse race in May .	['Macroeconomics', 'Macroeconomics']	['Macroeconomics.None', 'Macroeconomics.None']	['Macroeconomics']	['Macroeconomics.None']	27	2	silver	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]
aal02	aal02_delta-air-lines-finds-competition-intense-in-may-on-time-arrival.txt	2	Airline performance data behemoth OAG released its May on-time arrival data this morning , and three of the four major domestic carriers found themselves bunched fairly tightly in the on-time arrival competition .	['Macroeconomics']	['Macroeconomics.None']	['Macroeconomics']	['Macroeconomics.None']	33	1	silver	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]
aal02	aal02_delta-air-lines-finds-competition-intense-in-may-on-time-arrival.txt	3	Yes , Delta Air Lines still won the month , with 81.1 percent of flights arriving on time .	['Macroeconomics', 'Product/Service']	['Macroeconomics.None', 'Product/Service.None']	['Product/Service', 'Macroeconomics']	['Product/Service.None', 'Macroeconomics.None']	19	2	silver	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0]
aal02	aal02_delta-air-lines-finds-competition-intense-in-may-on-time-arrival.txt	4	The United States Department of Transportation considers a flight to have arrived on time if it reaches the gate within 14 minutes of its scheduled arrival time .	[]	[]	[]	[]	28	0	silver	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
aal02	aal02_delta-air-lines-finds-competition-intense-in-may-on-time-arrival.txt	5	But Chicago-based United Airlines - - clearly pushing hard in the wake of the ugly United Express Flight 3411 man-dragged-from-plane incident in April - - finished May with a strong second-place performance .	['CSR/Brand', 'Macroeconomics']	['CSR/Brand.None', 'Macroeconomics.None']	['CSR/Brand', 'Macroeconomics']	['CSR/Brand.None', 'Macroeconomics.None']	33	2	silver	[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]
aal02	aal02_delta-air-lines-finds-competition-intense-in-may-on-time-arrival.txt	6	OAG reported that 80.1 percent of United ' s flights reached the gate on time .	['Product/Service']	['Product/Service.None']	['Product/Service']	['Product/Service.None']	16	1	silver	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]
aal02	aal02_delta-air-lines-finds-competition-intense-in-may-on-time-arrival.txt	7	And that figure includes mainline as well as regional flights , which have in recent years had a more spotty performance than have United ' s mainline operations .	[]	[]	[]	[]	29	0	silver	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
aal02	aal02_delta-air-lines-finds-competition-intense-in-may-on-time-arrival.txt	8	United is a unit of United Continental Holdings .	[]	[]	[]	[]	9	0	silver	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
aal02	aal02_delta-air-lines-finds-competition-intense-in-may-on-time-arrival.txt	9	Like all the other domestic carriers that have been eating Delta ' s dust for years in the on-time arrivals race , American Airlines last year upped its efforts to improve on-time performance .	['Macroeconomics', 'CSR/Brand', 'Product/Service']	['Macroeconomics.None', 'CSR/Brand.None', 'Product/Service.None']	['Product/Service', 'CSR/Brand', 'Macroeconomics']	['Product/Service.None', 'CSR/Brand.None', 'Macroeconomics.None']	34	3	silver	[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0]
aal02	aal02_delta-air-lines-finds-competition-intense-in-may-on-time-arrival.txt	10	And the May results show that AA , the world ' s largest carrier , got 79.7 percent of its flights to the gate on time .	['Macroeconomics']	['Macroeconomics.None']	['Macroeconomics']	['Macroeconomics.None']	27	1	silver	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]
aal02	aal02_delta-air-lines-finds-competition-intense-in-may-on-time-arrival.txt	11	That put AA in third place , but still not far off the pace .	['Macroeconomics']	['Macroeconomics.None']	['Macroeconomics']	['Macroeconomics.None']	15	1	silver	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]
aal02	aal02_delta-air-lines-finds-competition-intense-in-may-on-time-arrival.txt	12	The laggard in May was low-fare behemoth Southwest Airlines .	['Macroeconomics']	['Macroeconomics.None']	['Macroeconomics']	['Macroeconomics.None']	10	1	silver	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]
aal02	aal02_delta-air-lines-finds-competition-intense-in-may-on-time-arrival.txt	13	Southwest got 77.6 percent of its flights to the gate on time , according to OAG .	['Product/Service']	['Product/Service.None']	['Product/Service']	['Product/Service.None']	17	1	silver	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]
aal02	aal02_delta-air-lines-finds-competition-intense-in-may-on-time-arrival.txt	14	Southwest shifted to a new reservations system last month , which might have been a factor in its fourth-place finish .	['Product/Service', 'Macroeconomics']	['Product/Service.Launch', 'Macroeconomics.None']	['Product/Service', 'Macroeconomics']	['Macroeconomics.None', 'Product/Service.Launch']	21	2	silver	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0]
aal02	aal02_delta-air-lines-finds-competition-intense-in-may-on-time-arrival.txt	15	Or it just may be that as Southwest ramps up for the peak summer season the carrier is finding it tougher to juggle more flights and get them where they need to be on schedule .	[]	[]	[]	[]	36	0	silver	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
aal02	aal02_delta-air-lines-finds-competition-intense-in-may-on-time-arrival.txt	16	On the flight cancellation front , however , Southwest had the least number of cancellations , percentage wise , for May , with 0.4 percent of all flights cancelled .	['Product/Service', 'Macroeconomics', 'Product/Service', 'Product/Service']	['Product/Service.Cancellation/Recall', 'Macroeconomics.None', 'Product/Service.Cancellation/Recall', 'Product/Service.Cancellation/Recall']	['Product/Service', 'Macroeconomics']	['Product/Service.Cancellation/Recall', 'Macroeconomics.None']	30	4	silver	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0]
aal02	aal02_delta-air-lines-finds-competition-intense-in-may-on-time-arrival.txt	17	Delta was second best in this department with 0.7 percent of flights cancelled .	['Macroeconomics', 'Product/Service']	['Macroeconomics.None', 'Product/Service.Cancellation/Recall']	['Product/Service', 'Macroeconomics']	['Macroeconomics.None', 'Product/Service.Cancellation/Recall']	14	2	silver	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0]
aal02	aal02_delta-air-lines-finds-competition-intense-in-may-on-time-arrival.txt	18	American Airlines cancelled 1.2 percent of its flights , and United cancelled 1.3 percent .	['Product/Service', 'Product/Service']	['Product/Service.Cancellation/Recall', 'Product/Service.Cancellation/Recall']	['Product/Service']	['Product/Service.Cancellation/Recall']	15	2	silver	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]
aal03	aal03_american-airlines-reports-load-factor-increase-in-may-shares-g.txt	0	American Airlines reports load factor increase in May , shares gain	['Revenue', 'SecurityValue']	['Revenue.Increase_Revenue', 'SecurityValue.Increase_SecurityValue']	['Revenue', 'SecurityValue']	['SecurityValue.Increase_SecurityValue', 'Revenue.Increase_Revenue']	11	2	silver	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1]
aal03	aal03_american-airlines-reports-load-factor-increase-in-may-shares-g.txt	1	AAL rose 0.5 % in premarket trade Friday , after the air carrier reported May load factor that increased , as traffic growth outpaced a rise in capacity .	['SecurityValue', 'Revenue', 'SalesVolume', 'Product/Service']	['SecurityValue.Increase_SecurityValue', 'Revenue.Increase_Revenue', 'SalesVolume.Increase_SalesVolume', 'Product/Service.None']	['Product/Service', 'SalesVolume', 'Revenue', 'SecurityValue']	['Product/Service.None', 'SalesVolume.Increase_SalesVolume', 'SecurityValue.Increase_SecurityValue', 'Revenue.Increase_Revenue']	29	4	silver	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 1]
aal03	aal03_american-airlines-reports-load-factor-increase-in-may-shares-g.txt	2	Load factor increased to 82.1 % from 81.9 % a year ago , while rivals United Continental Holdings Inc . and Southwest Airlines Co . reported load factor declines .	['Revenue', 'Revenue']	['Revenue.Increase_Revenue', 'Revenue.Decrease_Revenue']	['Revenue']	['Revenue.Decrease_Revenue', 'Revenue.Increase_Revenue']	30	2	silver	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]
aal03	aal03_american-airlines-reports-load-factor-increase-in-may-shares-g.txt	3	Traffic on American flights increased 2.6 % to 19.9 billion revenue passenger miles , while capacity rose 2.3 % to 24.3 billion available seat miles .	['SalesVolume', 'Product/Service']	['SalesVolume.Increase_SalesVolume', 'Product/Service.None']	['Product/Service', 'SalesVolume']	['Product/Service.None', 'SalesVolume.Increase_SalesVolume']	26	2	silver	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0]
aal03	aal03_american-airlines-reports-load-factor-increase-in-may-shares-g.txt	4	American affirmed its second-quarter outlook for total revenue per available seat mile of an increase of 3.5 % to 5.5 % .	['FinancialReport', 'Revenue']	['FinancialReport.Beat', 'Revenue.Increase_Revenue']	['FinancialReport', 'Revenue']	['FinancialReport.Beat', 'Revenue.Increase_Revenue']	22	2	silver	[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]
